,Tweet
315,"At this point, Elon asked if people had technical qs regarding the source code. 

That was followed by 5 people asking non-technical questions 😃

Someone pointed out a glitch in the twitter verification  that it doesn't happen automatically upon payment- it usually takes upto"
316,@parzr1 @KillianWells @verified Even with the verification payment aren't we still the product? Is twitter selling anything other than their blue check mark which is nothing but a receipt ?
317,This will be the end of Twitter. Verification as a business or non profit just for paying. And the payment is $1000/mo plus $50/mo for each individual affiliated account? Ha ha ha. https://t.co/QFa0LD2rCc
318,"Twitter under Musk has failed users in a few ways, none more so than by decimating the Trust & Safety teams, and not because they now ask users to attain basic verification and take payment for the process and the limited (though useful) benefits that go with it.🔘 We support the move and have adopted a subscription.
https://t.co/wKeaaVY1wE We understand you have other thoughts on this 
 @oliverdarcy,  @roslyntalusan, @roslyntalusan, @williamshatner, @tinu, @nicosgonzalez, @ryangrim, @bruce_arthur, @charles_gaba, @oliverdarcy, @oliverdarcy, @jessespector, @rmac18, @thekidskoob, @claire_goforth, @thomaschattwill, @timfullerton, @skooks, @paleofuture, @boydhilton"
319,"@elonmusk how payment is related to bots and verification.  if I'm a rich person, I can pay for checkboxes for bots and nothing will change.  bots will remain bots, and real users who could not pay will be overboard.  bots are flooding twitter"
320,@gold_payment Badge b3n ? School badge anaa twitter verification badge 😹😹
321,"Since my legacy blue check, which deems I ""may or may not be notable,"" will soon disappear into the Twitter abyss of no verified sources of information without payment, I will post it here for posterity. Farewell, verification. Maybe we'll meet again under better circumstances. https://t.co/dRXHX2IjVJ"
322,"@MartinSLewis @elonmusk This has all gone wrong because they tied payment with verification. 

People wanted to pay for a blue tick but all that verifies is the ability to pay £10 a month. 

Twitter blue features are fine to pay for but it doesn't need a tick. 

Keep verification out of twitter blue."
323,@MattBinder I wonder if by requiring payment for verification if there is additional liability for Twitter to validate the accounts and more responsible for validating misinformation?
324,"Ready for an unpopular opinion? I am totally cool with Twitter embracing payment as a form of verification. And here is why, a big frustration I have had with the platform for years, has been how verification works. The classic blue checkmark, has been historically, simply, a popularity contest. 
As an actor, getting the checkmark by the old standards required a few things (keep in mind I am paraphrasing): 
1) You have a certain amount of professionally recognized acting credits (I do). 
2) You are a top performer on twitter in your region in terms of engagement, followers, and other non-communicated twitter metrics.
Think about that second criteria for a minute. And how intangible that is as a guiding principle for getting the blue checkmark. To get verified, you had to play a popularity guessing game to do it. Endless engagement, content creation, and efforts just to be recognized by the platform as 'worthy of following' in your field. 
And we know how popularity game strategies come to life on twitter: buying followers, mass following people and unfollowing after refollow in the hopes of boosting follower ratio, hiring social media managers to cater your account, etc...
As I am using the platform in connection to my professional endeavours, having to play an intangible popularity game was extremely frustrating and frankly a waste of my time. 
Don't get me wrong, the new system isn't perfect, but at least it is a simpler way to narrow down on the user being a real person, and has at least a small intent to treat the platform ""seriously"" (as demonstrated through their payment). 
My focus on twitter has always been sincere engagement and representation of my life and trade activities, I don't want to waste my time playing the twitter game, but I do want to signify that this is really me, I am a real person, and I am a professional. 
In my opinion, the new system brings us closer to this reality. And I think it has a lot of potential to be more fair for professional newcomers, while still honouring those that have been successful at playing the Twitter game already. 🤷"
325,"@stevenmazie And going forward, asking for a one-time payment to cover Twitter's costs of verification isn't *at all* ridiculous either. There's a reason why ad dollars go to podcasts: many have well-defined targeted audiences."
326,@elonmusk I think 🤔 you need Twitter 🗣️ person about all those information I wish to see u tell us about the progress about mars But this to ur 🐣 Verification Oohh payment what Aahh make me tired Bru look for someone to do that but u focus on mars I need Go
327,"After having twitter blue, I can tell you this...
Verification should be a one-time payment. It doesn't make sense as a subscription. Not to mention, some accounts SHOULDN'T be verified just because they pay the subscription. (fake accounts, accounts of dead people, ect) Keep the verification payment and the subscription for extra features separate. Make verification a real process that's taken seriously.
Also, the main audience who would WANT extras are people who need to market/advertise. So the extra features should cater more towards them. There's not much to gain here right now though. Maybe the subscription should give you the option to boost a tweet once a month or something? Focus-group it more."
328,@elonmusk You won't have verified accounts. You're referring to Monthly Twitter Blue Subscribers who receive a blue check if they pay the monthly fee. No ID verification involved. Just payment confirmation. That won't bring back advertisers or much meaningful revenue.
329,@JesseLeeDow1 @Twitter Yes I agree with prioritizing paid users in feeds and giving them additional features for all the reasons you state. But payment should not come with a blue check which implies identity verification. They should be separate things which will allow paid anon (non blue check) accts
330,"@JesseLeeDow1 @Twitter I agree that payment is a useful tool for defeating bots, but it is a distinct thing from identity verification. In the past whenever I saw a blue check I knew that that person is who they say they are, but now all I know is that they paid for Twitter and could be representing…"
331,"@Distant_Mirror_ That's incorrect, but an intern at Teen Vogue prob can't afford Twitter Blue, and that's another issue; you can now only be verified if you can afford it. BTW if EVERY Legacy account paid for verification... it'd only net Elon $40m a year. His annual interest payment alone is $1B"
332,"Musk should introduce Twitter Blue with no ID verification and payment in $DOGE and other crypto

Twitter's revenue will skyrocket imo"
333,@elonmusk Hello @elonmusk .It’s Reeta from Nepal 🇳🇵.I can’t afford to pay 💰 every month to use twitter account. Why not just do ID verification instead of payment?
334,@SimonPease1 @gw_emily The plan is obvious. Blue Ticks will not denote verification - just payment - so that opens the gates of hell to hordes of right wing organisations to pour propaganda onto the platform (see also Facebook). Revenue problem solved ☑️. Musk's *real* plan for Twitter implemented ☑️
335,You won't have verified accounts. You're referring to Monthly Twitter Blue Subscribers who receive a blue check if they pay the monthly fee. No ID verification involved. Just payment confirmation. That won't bring back advertisers or much meaningful revenue
336,"The Twitter verification is $8 freaking dollars.  I saw Taco Bell hiring for $18 an hour yesterday.  $8 is a trivial payment.  Then I come on here and see multi-millionaire celebs bitching about having to pay for the verification.

Maybe they should just not pay it, the world would probably be better off with them having less influence."
337,@JesseLeeDow1 @Twitter I think the main issue here is that he’s conflating verification with payment
338,"@nntaleb @elonmusk Is paying to speak at the town square lindy?

Identity verification is alright, which can be achieved with a small one time payment.

Paying for Netflix, Spotify etc does make sense but not for Twitter."
339,"@docmartincohen @MartinSLewis @Twitter @elonmusk This 👇 is what Twitter says about verification. It is also safe to assume they don't check my payment details because the payment details doesn't have to match the name of the subscriber. 

https://t.co/I0lQGvxmeV"
340,@RetroCoast @elonmusk Payment/identity verification is the only way to eliminate bots. I use Twitter enough to make it worth paying a little for it and to help make it a better platform to use.
341,@SierraWhiskey9 Never knew that a $8/$11 payment to Twitter for verification could make so many rich people angry.
342,"@luxebarbie_ @saudisandbox @ima_node @elonmusk Twitter definitely is now the place you can’t be sure who/what is real. No more identity verification &amp; as of April 15, even bots can pay for Blue. Nothing will be trustworthy when just a payment method ensures being prioritized to be seen &amp; heard with no accountability."
343,"No, not true at all. They do verify you.  It took several days after I submitted my info to be verified.  If no verification took place,  it would be an instant approval after payment. 

It's his private company. He can charge for the service if he chooses. Twitter Blue is a way to end bots and scammers by verifying users. It's what will keep this app alive. 

Have you never paid to play a video game?"
344,"@wanderngnick Also, Twitter verification is only by payment (thanks to what we have lots of verified bots, which literally today he wrote are ok), and from what I last read other platforms will at least be verified by ID document."
345,@cory__vernon But paywalls have to be high to act as a deterrent. Twitter's is too low. And there is no verification of identity now - not even payment identity.
346,"@elonmusk ""Mr. Musk, I came across your tweet about verification on Twitter. However, the link you posted seems to require a payment of 11 euros per month. Could you clarify if this is the only way to get verified on Twitter, or if there are other options available? Thank you for your time"
347,"@Annie_DLV Yes, but it's not the payment, it's the assumptions of political leaning that I most have a problem with. There are already many Twitter users who will automatically block people who pay for verification. Whatever I choose to do, I'll lose, in one way or another..."
348,"He also claims this is ""verification"", but it's not. It's payment based and there is zero actual verification involved. Give him money, get full access the same Twitter you've been using for years for free..."
349,@malshasharyf Is it true that  @MaleCitymv pay for your twitter blue verification? @MMuizzu  if so can we see the reciept of payment??  Taxpayers ge laarin account verify kohgen vagun @SikkaMohoree
350,@elonmusk These „Advanced AI bots“ are using iTunes credits and IAP to pay up for their „Verification“ - Twitter doesn’t receive any payment details - but I’m guessing you know that and don’t care.
351,"@TwitterBlue I have applied for Blue Tick for one month, still the account verification / reviewing is not showing Blue Ticker , it seems that this month's payment will go only in my account verification, Blue Ticker is not available 😞😒
@verified @Twitter @TwitterSupport @elonmusk"
352,@RayPaseur @Carnage4Life Twitter blue is only indicative of payment. There is no verification worth the name.
353,@elonmusk You won't have verified accounts. You're referring to Monthly Twitter Blue Subscribers who receive a blue check if they pay the monthly fee. No ID verification involved. Just payment confirmation. That won't bring back advertisers or much meaningful revenue.
354,"@elonmusk Makes sense. If the bot is verified, the human behind it ""also is"". Verified human accounts should keep a gray verified badge or some sort of badge that shows you're a human with no twitter blue features eventually. 
Verification shouldn't only correspond to an active payment."
355,"@Jakeboy1023 @thinkitdoit @benekcj @Gorgarth1 @elonmusk @CuteMonsterDad both of those people are talking about twitter blue and payment, yes, but only one of them is talking about ID verification"
356,"@kisekiii_25 payment isnt a verification in any way 😭😭 ive been dmed and replied to by so many bots with twitter blue verification marks, if you look at the replies even NFT bros are against him. hes just made stupid decision after stupid decision"
357,Dude who bought this site said that voting in Twitter polls will require a subscription 😂😂😂 Twitter blue seemed like a better deal before it came with a payment verification check.
358,"@elonmusk Any chance for a 1 time payment / verification? 
I am using Twitter to read, not post, so while I want to be verified, I am not open to pay monthly to be verified once. 
How about 8$/ verification and I get no extra features than purely verified? 
Would that help financially?"
359,"@atRachelGilmore Does twitter not verify your identity of verification through your payment information and other methods? Does this not deter bots or fake accounts? 

Or create more authentic users across the WHOLE user base rather than just the 1%? Making it less susceptible to bot activity?"
360,@elonmusk You won't have verified accounts. You're referring to Monthly Twitter Blue Subscribers who receive a blue check if they pay the monthly fee. No ID verification involved. Just payment confirmation. That won't bring back advertisers or much meaningful revenue.
361,@elonmusk @videotech_ In what bizarro world is Twitter made more trustworthy by making verification about payment instead of… identity verification?
362,@elonmusk Approximately 450 million Twitter users yet only 300K Twitter Blue subscribers. They're not even verified via ID. Just their method of payment was approved. Legacy blue check holders were actually verified. Perhaps you should bring back true verification to justify the fee.
363,@realdrewpage @elonmusk You’re telling me verification isn’t a 1x payment? It’s a MONTHLY bill just to have a Twitter account? https://t.co/Hl2dKt9LSG
364,"@MuellerSheWrote I really enjoy your tweets, but I disagree with you on this (assuming Twitter fixes the actual identity verification part of the blue checkmark). It’s nearly impossible to prevent influence operations via bots without payment verification"
365,"@EndangeredSense @avenaim @elonmusk Brother.. Open your eyes and ears and think for yourself. You have nothing to gain from ""fighting"" for Elon and his AI scare tactics to mint dollars off people like you. Twitter is the only application that needs payment for ""verification"" smh"
366,"@elonmusk the measure of humanity is not ID verification, but payment

the future of twitter is rich people (and rich bots)"
367,"@elonmusk I think blue verification for 100 USD one time payment for life time subscription will be a good idea, That works for me and i think it will work for many of us ! And you would receive immediately hundreds of millions to twitter bank account !"
368,"@BigheadWisdom @davidmweissman The barrier for what?

The $8 blue check doesn't serve the same function as the legacy one.

It's easy enough to do both. Sell Twitter Blue as a premium add-on and have a non-paid or one-time payment for actual verification."
369,"Hi @elonmusk, we have signed up for Twitter's blue verification for 1 year and have already made the payment. However, it has been two days since we registered and we have not yet received our Twitter blue verification."
370,"7) Twitter's old verification system was anything but democratic, and highly Western-/Anglo-centric. But let's not kid ourselves that what will follow is more egalitarian. It's far less. For Musk, payment is always the great equalizer. To the rich, every void is a coin slot."
371,"@elonmusk Elon, have you considered allowing third world country users to pay through their national payment rails to get verified?

That will likely expand verified user base.

Ofc, may need a reduced verification price, but still a win for both Twitter and those users sans banks.

Wdyt?"
372,"@Leila1H @elonmusk Yes, I think for 8 bucks a month I could maybe be you on twitter because the blue verification mark only means that you pay the monthly payment."
373,@elonmusk Can you please enable a one time payment option for ID verification and then also have that available via API for devs to build apps that can have users 'verify their identity via Twitter'? Much needed for the internet overall &amp; not practical for every app to ID verify users
374,"@BlueSkyKitsune @ZoeSchiffer @Twitter Scrapping verification offers a reset.
Most of the verification since 2013 was through nefarious bribery systems; it was corrupt &amp; abused. Some verifications cost $10,000+/$100,000.

The new system allows for those who want to be verified to re-register with proof via payment."
375,"Hey @elonmusk-just give ppl the option to make a one-time payment to verify our identities (via some Twitter-approved method).

Then ppl simply have the choice: remain anonymous/unverified or pay for verification, and let cards fall where they may re: the effect to one's message."
376,"@hypocrisy_sucks @thechrisvasko @tealou @AnActualWizard @WilliamShatner @elonmusk Especially when their motivation is to somehow refute something incredibly obvious about how Twitter's payment methods aren't the same as identity verification, just to white knight for a billionaire for no discernible reason."
377,"That’s true, but there does also need to be a level of checking involved in the process, as ‘payment verification’, as Twitter calls it, will only go so far as a deterrent in the sign-up process. https://t.co/DLRJ5CxmIP via @socialmedia2day"
378,"I am yet to receive my verification since payment which was done yesterday !! 

Its been almost one day ! 

@Twitter @verified @TwitterSupport"
379,@WoodReporting @elonmusk Most of the time it's postal code verification that fails. Often the bank has screwed up your address somehow.  They are using Stripe for payment processing and twitter support should be able to see the reason for the decline @TwitterSupport @elonmusk
380,"Many fakes account are now verified by Twitter because verification is now by payment, Elon musk should kindly keep it as it was in the beginning bcoz many will be scammed with this strategy."
381,"@staustellsimon @bobbyllew You have to have a valid phone number and a valid payment method, so you can't just be a random bot account. It's not verified in the sense of how the previous verification worked no.

Everybody seems hung up on Twitter Blue being about the blue tick but that's just a small part."
382,"I genuinely wonder how this will go. Surely, Twitter will have to introduce ID verification alongside the monthly payment?"
383,@PopBase Elon will just chase people away cause why should i pay for a verification badge??? Isnt ads payment enough? Milking people to what extent. I already pay for my internet sub why should i pay to use Twitter again? 😪😭
384,"Starting in April, Twitter verification enforces payment for the blue check.

https://t.co/KdiDRSXp0J"
385,@elonmusk It's called Twitter Blue... There is no verification besides a payment clearing.
386,"@_freakyfishy @eunhqverse @erikstrattonkw @BerkeleyDebates But thus there's no real checking process in place, with Twitter instead relying on what it calls 'payment verification' – i.e. bot accounts won't be able to pay, so they won't be able to sign-up to Twitter Blue, or it'll be increasingly expensive for them to do so.Feb 1, 2023"
387,"@TwitterBlue Hi team, Can you check my verification? I am just waiting the checkmark, About 2 days ago, Twitter blue transaction were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come @verified @TwitterBlue Thank you so much"
388,"@TwitterBlue Hi team, Can you check my verification? I am just waiting the checkmark, About 2 days ago, Twitter blue transaction were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come @verified @TwitterBlue Thank you so much"
389,@Twitter @TwitterBlue  How long does the verification take....Shouldn't you defer payment until the verification is done OR provide and publish an SLA for the verification process? @elonmusk
390,@thtlibertychick Twitter Blue doesn’t require drivers license or verification just payment.
391,@JillDLawrence @AP What verification system? The $8/mo. payment?  That seems to be how Twitter is verifying accounts these days.
392,"@eu_buddy @chuck_mackenzie Not to mention ""verification"" is a total sham. There's no process, as there used to be, just a payment.
And when he says ""you get what you pay for"" does that imply his intention is to turn Twitter into crippleware?"
393,"@TwitterBlue Hi team, Can you check my verification? I am just waiting the checkmark, About 2 days ago, Twitter blue transaction were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come @verified @TwitterBlue Thank you so much"
394,"@elonmusk Account verification has nothing to do with payment. In addition, the payment should affect the service. Do you think the average resident of Africa, India, Asia will have enough to pay? Or will his opinion be less valuable?  I expected more sophisticated solutions from Twitter"
395,"@elonmusk This could’ve been a once off payment for verification, because at this rate we poor people won’t be able to use twitter at some point…simply because we can not afford the subscription."
396,"@inevitable360 @elonmusk This is a valid point, if someone has ever paid twitter then by that metric their account is verified. Continuation of payment doesn't 'extra verify'. Conflating ongoing payment and verification is a category error."
397,"@elonmusk Funny thing: Twitter uses ""payment verification"" (the theory that ""bots can't pay,"" which in the era of PayPal is just stupid). So Twitter will now be boosting the posts of a lot of bots you haven't seen before! 

Good to know.
https://t.co/QxhvPSvOfY"
398,@TwitterSupport PLEASE! PLEASE add more payment methods for the Twitter Blue!!!! I do not have a credit card!!! But I need the Twitter Blue verification!!!!
399,"- The end is near: Instagram Facebook and Instagram follow Twitter's lead by imposing $14.99 a month payment verification on mobile devices
- The largest Scalextric in the world is in Madrid and its days are numbered unless someone gets hold of the transfer
#socialmedia #network"
400,"@Carolinerathabe Oh oh oh chill…
Point of correction - first person to subscribe to blue Twitter mo Jane Furse😊
If you skip payment, your verification is revoked just like #DSTV
So no bragging abeg abeg… pleasoooo https://t.co/xeslxj1rOv"
401,"@shrutibalasa @TwitterBlue As soon as the payment goes through and your Twitter blue subscription is active again, the blue tick will be back. Since you haven’t changed name and photo, the previous verification status still holds valid somehow"
402,I’ll say it one last time. If twitter is a requirement for verification in this industry I’ll use it how I want. Shouldn’t have made it this way if you don’t like it. I don’t want to post lingerie pics. If it were up to me I wouldn’t even show my collarbone without payment first.
403,"The payment for the Twitter Blue subscription was made by me on 06/03/2023.
Why is verification still not completed and showing under review until now?
@Twitter
@elonmusk https://t.co/HIFn8aTuVm"
404,"So every verification for Twitter is 5k monthly. 🤔
5k is not the issues the issues is the continuation of payment.  60k yearly not that bad but I'm still not ready😏"
405,"@elonmusk My Twitter Blue verification/review has been pending for more than one week after payment is done to Twitter.
Bad new days experience and poor service by @Twitter"
406,"@VRACRYPTOLEGEND @cz_binance @Twitter @binance Surely all crypto companies with native exchange and token should receive same level of verification 

I.e crypto .Com for example 

But Elon did apply for payment services back in November for twitter 

Which would allow crypto payment integration with twitter 

CZ on that 💯"
407,"@elonmusk Why is there a long delay in the activation and verification for the Twitter Blue subscription on my account? when I have already made the payment to Twitter.
I have made several reminders, but there has been no  response yet.
@Twitter"
408,"@TwitterBlue Hi team, Hope you are having a good day! Can you check my verification? I am just waiting the checkmark, About 7 days ago, Twitter blue transaction were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come. @TwitterBlue @elonmusk https://t.co/taUrrSjrDr"
409,Which payment method available to Nigerians can be used for Twitter verification?
410,"Dear @elonmusk
I would like to become a Twitter Blue subscriber. 

But I can’t do it because of the payment method and phone verification.

You told that Twitter is not a profitable business…

I think, I have an idea how to fix this problem."
411,"Hi team, Hope you are having a good day! Can you check my verification? I am just waiting the checkmark, About 3 days ago, Twitter blue transaction were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come. @TwitterBlue @elonmusk"
412,"@imitalithakur @Abhishekmoudgi7 @TwitterSupport @verified @Twitter I read from somewhere that post payment they will do verification. In case they found account was inactive for sometime or profile pic is changed then bluetick will be removed. 
Need to confirm what will happen to payment in that case."
413,"Twitter Blue...pay and wait...
@elonmusk maybe you have to change the way of verification. There are a lot of companies out there that arrange the verification immediately (the company makes a one-time payment) also in accordance with GDPR and CCPA."
414,"@TwitterBlue Hi team, Hope you are having a good day! Can you check my verification? I am just waiting the checkmark, About 3 days ago, Twitter blue transaction were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come. @TwitterBlue @elonmusk"
415,"How many days does #blueTick verification takes &amp; how to get an invoice of payment for official handles .. 

#twitter @TwitterSupport"
416,@UBAGroup please I need refund of the funds debited twice  from my U.B.A account on Saturday when I was trying to make my dstv payment... Could buy the package twice and my account was debited twice...i sent a dm on Twitter of my account details for verification but no response..
417,Tbh this payment for verification that Elon Musk activated on Twitter is doing more harm that Good to the Twitter Community.
418,"@ryangerritsen @activistscanada My time here draws closer to the end. With some type of RealID verification most likely coming as Twitter becomes a payment platform, and the government's overreaching hand controlling the narrative online, that'd be my queue to exit. Not quite yet, but I see the first signs. 🇨🇦"
419,"@Afrospacey Its very stupid, even though we stay anonymous with each other at the end of the day. @Twitter has all of our credit card information where we live, etc. verification should be done instantly for changing your profile picture because again they have our payment information. 😂"
420,@verified how long does it take to get verified for Blue? I made the payment for yearly Twitter Blue on Feb 28th.  No Verification yet &amp; no one has reached out to me… :-(
421,"@elonmusk Hey Elon, how long does it take to get verified for Blue? I made the payment for yearly Twitter Blue on Feb 28th.  No Verification yet &amp; no one has reached out to me… :-("
422,"@Twitter @verified 
I am a twitter blue customer for more than 2 months now. 
I had a delay in payment but it has gone through now. However I still haven't received my verification.
What is going on? Its been 2 days."
423,It happend. Had someone on Twitter offer to pay my 2 credit cards. They paid one and needed 8 verification codes to get into my other. Payment came back on the one card and now my bank account has been taken over. With a 1500 dollar fraudulent deposit pending. I can't take it
424,"@TwitterBlue Hi team, I hope you are having a good day!, can you check my verification? I am just waiting the checkmark, About 8-9 days ago, Twitter blue transactions were made, the blue tick did not come, the payment was still withdrawn, I would like my blue badge to come."
425,"@dogeofficialceo @elonmusk As soon as I can pay with $DOGE , I’ll be in supporters zone . @elonmusk accept $DOGE as a payment for Twitter Blue Verification."
426,"@TwitterBlue Dear @Twitter, it has now been 10 days since we made the payment, and we have not received any response or verification. This delay is causing us a lot of inconvenience as we are unable to access the premium features we paid for. We kindly request you to take this matter serious"
427,"@elonmusk Elon! So how long does one wait for the Twitter Blue check mark ☑️ &amp; verification? Twitter takes $84 annual payment immediately upon subscribing, yet days go by with NO check.  Two minute fix needs fixing when 2 factor authentication is immedate as well. Fix It! 💢🇺🇸"
428,@elonmusk @Twitter  @verified can you please make provision for Twitter verification payment with Dogecoin? Just an opinion.
429,"@elonmusk  Since you introduced Payment plan for verification tick ☑️ on Twitter. Does it mean @Tesla ,@SpaceX has to pay for it like others or they get a 100% discount on payment plan.
 If they don't then it's like you can pay yourself and still show it as business expenses.🤯🤑 https://t.co/FHIsbDOOvD"
430,@AlphaSarkces Na Twitter wey dey collect payment for verification na me blame. 🥥 Head
431,"Pay for verification is a hot topic. 

Since Twitter initiated this new source of revenue, Meta is following suit with Instagram and Facebook.

Does the monthly payment model affect the influence of high follower accounts?  Does it matter?"
432,"@Twitter I applied for verfication payment had been done 
Its already 5th day did not get  blue tick on my account how long i need to wait. please request to you urgently verification mu Twitter account with blue tick.Tnx❗🙂"
433,"@verified I applied for verfication payment had been done 
Its already 5th day did not get  blue tick on my account how long i need to wait. I will be wait but not verified my twitter account so I hope you. urgent verification and give good response"
434,"Payment verification direct link account with a verifiable human identity, authenticated by financial records, this is good to deter  fake accounts- bot’s manipulation in political interference. Charge a $1.00 start fee offer more features. “Twitter Lite” insures % of  396M users"
435,@Cobratate I’m guessing all his banks account numbers have changed as his monthly payment for his verification seems to have not gone through. Surely he deserves to have a legacy verified account #twitter @verified @TwitterSupport
436,"To be honest @elonmusk, I don't appreciate the Twitter Blue business model at all. Why are my tweets not as high in priority compared to someone who has a Twitter blue verification? This just turns free speech into a regulated payment wall where words now cost money.  #twitter"
437,"other social media platforms are beginning to copy some of their innovations like this verification payment process.

How novel, how refreshing, how prescient. I'm certainly looking forward to the rebirth and growth of new Twitter. Faults n'all. It's beginning to look like a 

6/"
438,"@elonmusk is a great thinker and good businessman. When he introduced monthly payment for verification badge people thought twitter would fade out with time, but now Mark Zuckerberg is proposing same thing for IG at more price compared to twitter 🤣. #ThinkBig"
439,@SamCarvalho @AriDavidPaul @MKBHD Fees don’t scale well for botnets so there is some verification value in a fee. Payment is a signal one human is behind one account. It’s not proof but a signal is better than nothing. And a disposable card is a data point Twitter can use in their ranking algorithm.
440,@_BRCooper @MFrunker @daelmor @StudleyDudley13 @elonmusk @Twitter Verification? There is no verification with Twitter Blue. Payment isn't verification.
441,@JakubKudlacz @daelmor @elonmusk @Twitter There is literally no verification method other than payment. Nothing trustworthy is occurring.
442,"Twitter verification really should be a one-off payment and not a monthly subscription service! 

There's something wrong about billionaires continuously charging users for what's essentially an emoji next to your name 🤣

@elonmusk 💩"
443,"After Twitter, Meta also launches a subscription based verification service for users.

This requires users to actually provide any Govt ID along with payment to get verified. #MetaVerified #Facebook #TwitterBlue"
444,@JaipurDialogues @Twitter may reject their payment for verification tick mark as per legal reasons and refund their money.
445,Instagram to roll out verification for a monthly payment following in the footsteps of Twitter. Is this bullish or bearish for Meta?
446,"@DailyLoud If you came out with verification payment first, I would have given you money without taking any equity. But now it seems you are copying twitter. 
And for this reason, I’m out! https://t.co/SVbikpl4AD"
447,@unusual_whales Twitter and Meta will become payment processors like Venmo. Verification will be necessary for this. I’ve got no problem with it.
448,@MKBHD Twitter and FB will become payment processor like Venmo. Verification will be necessary for this. I’ve got no problem with it.
449,Tbh if you notice celebs leaving platforms like no one is really interacting much on twitter anymore it's bc of the verification payment method. It's gonna get way worse with IG. Major people will leave the platform.
450,"i wanna know in what world having ""Text message as 2FA verification method"" is a selling point for your $8/month payment model. how often are people signing in and out of their twitter accounts"
451,".@Twitter going nowhere. 2step verification for ur Account Security became subject to payment in the age of spywares/#Pegasus. And when u want to pay by upgrading to twitter blue,U can’t as it is unavailable.Any solution @elonmusk ? don’t tell me use other method @TwitterSupport https://t.co/5TnxH0XdMo"
452,@Grantman90 @ZacksJerryRig Twitter spends 70mil on payment to telcos for the verification. But the problem is that some international telcos just spin up bots to 2fs new Twitter accounts and get paid outrageous amounts for their services.
453,"Yeah, anyone with a verified payment method. Using debit/credit cards is one of the best ways to implement secure verification of identity online. Priced just right people don't bother setting up fake accounts and etc. And if you don't feel Twitter Verified is worth $8 per month, well then, just wait until they provide more value on here. Ads-free experience, Unlimited Music and Movies, 4K video streaming, or if you think about making money Tweeting videos and other forms of content, so much else they can add to here."
454,"I’ve signed up for Twitter’s new two step verification system, and they sent over a burly bloke named Gaz and his two associates, carrying photos of my family, to collect payment to ensure my safety.
They’ll be back in a month."
455,"@dannolan @wongmjane @elonmusk How is blue check verification going to be any better than ad account verification? Or does Twitter just let anyone advertise without having to set up an account, Enter payment information, etc?"
456,"@terjeholden @noclador @Twitter Verification method?

The *only* thing verified is that payment has happened. You could verify yourself as an orange clown or Felon Musk, as long as you pay."
457,"Inflation alert:
Uppis are no longer accepting ₹200 as payment. Due to Twitter verification fee, they are demanding ₹900 now.
#RSB_Media
#200Uppis
#BlueTick"
458,"@veryangelic @GOVOTE0 @crftjck @ZaleskiLuke @elonmusk Every government troll out there can spare 4 or 10 or 20 usd a month for verification of his account. Payment can't stand alone, which means some kind of vetting procedure would be needed. 

Twitter has 450 million users active every month."
459,"@elonmusk It's not a feature but rather have global support in all markets, a number of countries still don't support mobile verification and payment for blue check. Twitter is missing out!"
460,@elonmusk I am paying for my blue verification as a a Twitter iser. Twitter has my my payment but I dont have a blue verification????? They should not take lomger than my FBI back ground checks I take now for my business I own but it has so far. Help Please!
461,@elonmusk Being able to know the estimated time for Twitter Blue verification since the payment has been done. 🫶🏼
462,"@elonmusk 1) Account status verification built into the app to tell if you are shadowbanned with appropriate appeals process and road to redemption.
2) A payment system in app to charge for long form content to bring substack journalism onto twitter
3) Remove legacy verification completely"
463,"@elonmusk
 how long does it take to get a twitter verification tick after paying for the subscription? My payment was done on 9th fyi
Rest all fine, take care and stay blessed."
464,"@LudaLisl @daelmor @elonmusk @TitterTakeover ... payment is integrated into Twitter, an added verification level would be added."
465,"@elonmusk @TitterTakeover https://t.co/KAKUGg5LvP

Day 4 of my payment and still no response from twitter side for my blue tick verification..

Why start upfront paid model when there is not enough team sir to resolve issues 

@TwitterSupport"
466,@elonmusk @cb_doge @Twitter @mayemusk @Tesla @SpaceX quick verification after payment for Twitter Blue!
467,"@chopps75 @WeMust_Away @BCDreyer @SamTwits @elonmusk @RiaRevealed The means of payment isn't one of the verification criteria in Twitter Blue, and if it were, it wouldn't prevent one from using some other person's card to set up a fake account. The previous verification system   required users to jump through so many hoops it was a pain to use."
468,"@RiaRevealed @elonmusk Verification could be made by digital certificates or a credit card payment. Twitter Blue has to be a premium service, not a verification tool. No ads, more customization options and extras like edition, longer tweets..., things that make Twitter better for suscriptors"
469,"Never was part of the legacy blue check mark. Can't comment on that.

With Twitter 2.0, after approval of payment, went through several filters of personal profile verification to get blue check mark. This include photo profile, phone verification, email, etc. Took about 2 weeks. Twitter really taking the time to make sure you are who you claim to be. That's real progress."
470,"@lilcoqui84 @ParkerMolloy @drsdgulati @davidmweissman @divya_gandotra @elonmusk @RiaRevealed Are you saying they don’t use a verification process now, because I went through one that verified my Id and payment info with Twitter."
471,@elonmusk Crypto payment should be allowed for 8$ twitter verification
